Country,Address,Name,State,Review Count,Stars
CN,"1 E Trenton Ave, Ste 3B, Morrisville Shopping Center",Good Taste Chinese Restaurant,PA,28,4
,"1 N Virginia Ave, Ste 1B",Best Food In Town Chinese Kitchen,NJ,7,2.5
,1 Penn Mart Shopping Ctr,Hong Kong Chinese Kitchen,DE,6,1.5
,"2 New Jersey 73, Ste M",Circle Chinese Restaurant,NJ,16,3.5
,2 Rt 73 S,South Jersey Brazilian Jiu-Jitsu,NJ,7,4.5
,3 E Evesham Rd,Good Taste Chinese Restaurant,NJ,23,3.5
,6TH And Race St,Chinese Lantern Festival,PA,63,3.5
,7 N Lansdowne Ave,Great Wall Chinese Restaurant,PA,45,2.5
,8 N Broad St,Po-Po No 1 Chinese Restaurant,NJ,5,2.5
,"11 Athabascan Avenue, Unit 128",Good Buddy Dim Sum Chinese Restaurant,AB,29,4
,15 East Black Horse Pike,Krystal Vy Chinese Restaurant,NJ,30,4
,15 W Main St,King House Chinese Restaurant,NJ,59,4.5
,17 W Ridge Pike,Number 1 Chinese Restaurant,PA,13,3
,22 E Street Rd,King Wok Chinese Restaurant,PA,26,2.5
,22 Pitman Ave,Ming Lok Chinese Restaurant,NJ,29,3.5
,28 E Main St,Stone Dragon Chinese & Japanese Restaurant,NJ,36,3.5
,28A Trolley Sq,Hong Kong Chinese Food Pick Up,DE,37,3.5
,32 W Main St,88 Number 1 Chinese Kitchen,PA,8,2
,38 Carpenter Plz,Hong Kong Chinese Food Eat In & Take Out,DE,16,4
,39 Gravois Blfs Plz Dr,Ho Wun Chinese Restaurant,MO,57,3
,"51 N 12th St, Ste 58",Shanghai Gourmet Chinese Restaurant,PA,42,3.5
,53 E Bridge St,Mayflower Chinese Restaurant,PA,51,4
,63 E Thompson Ln,No 1 Chinese,TN,40,3
,"81 Lancaster Ave, Ste 3",East Star Chinese Restaurant,PA,40,3.5
,"99 Seaboard Ln, Ste 300",Authentic Brazilian Wax,TN,20,4.5
,"103 White Bridge Pike, Ste 4",Brazilian Wax Studio Nashville,TN,78,4
,106 Wallace Ave,Nice Chinese Restaurant,PA,9,2.5
,108 W Susquehanna Ave,Ming River Chinese Restaurant,PA,15,2.5
,111 E Broad St,Great Taste Chinese Food,NJ,30,2
,117 E Washington St,Fogo de Chao Brazilian Steakhouse,IN,781,4
,117 Greenbank Rd,Kampo Garden Chinese Food,DE,16,2.5
,118 Bethlehem Pike,Golden City Chinese Restaurant,PA,89,2.5
,127 Ark Rd,Peking Wok Chinese Restaurant,NJ,73,4
,"127 Franklin Rd, Ste 105",No 1 Chinese,TN,36,3.5
,128 W Main St,Golden Dragon Chinese Restaurant,IL,16,3.5
,130 S 11th St,Panda Garden Chinese Restaurant,PA,63,2.5
,133 N 11th St,The Chinese Noodle Factory,PA,12,4.5
,138 Morton Ave,Great Wall Chinese Restaurant,PA,25,4
,"155 Main St, Bldg L",Fogo de Chao Brazilian Steakhouse,PA,403,4
,161 N Main St,China Sun Chinese Restaurant,PA,8,3
,"166 2nd Ave N, Ste C",Rodizio Grill The Brazilian Steakhouse,TN,510,4
,200  W Ridge Pike,Golden Dragon Chinese Restaurant,PA,67,3.5
,212 Market St,Chinese Tai Chi Center,PA,17,3
,216 N 33rd St,Tran's Chinese Food Cart,PA,19,4
,217 N 7th St,Red Door Chinese Eatery,MO,154,3.5
,220 N Carrollton Ave,Yummy Yummy Chinese Restaurant,LA,85,3
,222 Bridgeton Pike,Yummy Yummy Chinese Restaurant,NJ,13,3
,225 Westshore Plz,Chinese Gourmet Express,FL,5,3.5
,228 Lantana Dr,The Crownery Chinese Restaurant,DE,70,3
,"229 Plaza Blvd, Ste 21",Great Shanghai Chinese Restaurant,PA,19,3.5
,229 S White Horse Pike,Chinatown Chinese Restaurant,NJ,8,3
,"230 N Maple Ave, Ste A8",Mayflower Chinese Restaurant,NJ,28,3.5
,232 S Delsea Dr,Best Food In Town Chinese Kitchen,NJ,7,2.5
,249 Glenside Ave,China Palace Chinese Restaurant,PA,5,2
,263 E County Line Rd,Golden China Chinese Restaurant,PA,30,4
,"273 Christiana Rd, Ste 9A",Sang Hing Chinese Food Take Out,DE,21,4
,"300 S Lenola Rd, Ste 11",Great Taste Chinese Food,NJ,22,3.5
,303 US Hwy 130,Ying Hui Chinese Restaurant,NJ,29,3.5
,311 De Baliviere Ave,Chinese Express,MO,7,3.5
,314 Horsham Rd,Horsham Chinese,PA,25,3
,"320 Beverly Rancocas Rd, 3E",No 1 Chinese,NJ,8,2.5
,320 Evesboro Medford Rd,Mulan Chinese Restaurant,NJ,13,3.5
,321 S Madison St,Hong Kong Chinese Restaurant,IL,9,5
,326 N Chester Pike,Hong Kong Chinese Restaurant,PA,18,3
,328 S White Horse Pike,Happy Family Chinese Restaurant,NJ,11,2.5
,333 Main St,Country Garden Chinese Restaurant,PA,19,3
,339 N Lansdowne Ave,Pearl Chinese & Japanese Cuisine,PA,55,3
,350 S Lowry St,Famous Chinese Restaurant,TN,12,3
,357 Main St,Golden Bowl II Chinese Restaurant,PA,9,4
,377 W Esplanade Ave,Happy Wok Chinese Restaurant,LA,16,4
,401 Cool Springs Blvd,Brazilian Wax Studio,TN,128,5
,"401 Harmony Rd, Ste 12",Panda House Chinese Restaurant,NJ,10,2.5
,410 W Main St,Fortune House Chinese Restaurant,TN,47,4
,"413 W Crystal Lake Ave, Ste 5",No 1 Chinese Kitchen,NJ,20,3
,414 South Broadway,The Orient Chinese Restaurant,NJ,38,4
,"415 Egg Harbor Rd, Ste 5",Chef Chun Chinese Restaurant,NJ,52,3.5
,"416 Sicklerville Rd, Ste 10",Chinese Country Inn Restaurant,NJ,11,3
,425 S Virginia St,Churrasco Brazilian Steakhouse,NV,420,4.5
,428 York Rd,Brazilian Jiu-Jitsu United,PA,7,5
,430-444 County Line Rd,Golden Dragon Chinese,PA,8,3
,440A St Albert Road,Golden Dynasty Restaurant Chinese & Western Cuisine,AB,8,1.5
,460 Hurffville-Crosskeys Rd,Mulan Chinese Restaurant,NJ,9,3.5
,487 S Kirkwood Rd,Panda Chinese Restaurant,MO,54,3.5
,"500 E Providence Rd, Ste 2",Golden Place Chinese Restaurant,PA,19,3.5
,"501 Chapala St, Ste E",Brows To Brazilian Wax & Skincare Salon,CA,29,4
,504 2nd St Pike,Osaka Japanese & Chinese Restaurant,PA,63,3.5
,510 E Jackson St,Oriental Express Chinese Sushi Restaurant,FL,44,2.5
,510 S Main St,Chinese Dragon,IL,5,4.5
,521 Black Horse Pike,Good Friend Chinese Restaurant,NJ,20,4
,528 Woodleaf Ct,Yong Kang Chinese Medicine Clinic,MO,5,5
,530 Trestle Pl,Paramount Brazilian Jiu Jitsu,PA,6,4.5
,543 York Rd,Kam Wah Chinese Kitchen,PA,16,3.5
,578 Township Line Rd,New Garden Chinese,PA,14,2.5
,582 Waldron Rd,Shun Cheong Chinese Restaurant,TN,44,4
,"600 Heritage Dr, Ste 104",Mayflower Chinese Restaurant,PA,22,4
,601 Terry Pkwy,Meng Ting Chinese Restaurant,LA,9,2.5
,603 N US Hwy 41,Great Wall Chinese Restaurant,FL,33,4
,612 E Main St,Golden Chopsticks Chinese Restaurant,PA,21,3.5
,614 Canal St,Fogo de Chão Brazilian Steakhouse,LA,523,4
,618 South Ave,New Panda Chinese Restaurant,PA,10,2.5
,636 Lincoln Hwy,21 Chinese Kitchen,PA,20,3.5
,646 York Rd,Grand Buffet Chinese Restaurant,PA,45,3
,647 Big Bend Rd,Dynasty Chinese Restaurant,MO,23,2.5
,649 Clements Bridge Rd,No 1 Chinese Food,NJ,13,4
,656 E Prater Way,Soochow Chinese Restaurant,NV,75,3
,657 Haddon Ave,Chow's Chinese Restaurant,NJ,51,3
,659 Haddon Ave,Woksabi Now Known as Chow's Chinese Restaurant,NJ,126,3.5
,675 High St,Ming Hong Chinese Restaurant,NJ,21,3.5
